patentID,grantdate,appldate,patent_title,country,firmID
8587134,20131119,20120816,Semiconductor packages,KR,104604
9146835,20150929,20120105,Methods and systems with delayed execution of multiple processors,US,6066
8898111,20141125,20130311,Enforcing temporal uniqueness of index keys utilizing key-valued locking in the presence of pseudo-deleted keys,US,6066
9800780,20171024,20140328,"Image processing device, image processing method, and program to capture an image using fisheye lens",JP,9818
9880833,20180130,20150630,Initialization status of a register employed as a pointer,US,6066
8779656,20140715,20120801,"Organic electroluminescence element, and light emitting apparatus, image forming apparatus, light emitting element array, display apparatus, and imaging apparatus each using the element",JP,2721
9607900,20170328,20150910,Method and structure to fabricate closely packed hybrid nanowires at scaled pitch,US,6066
9563529,20170207,20150519,Selective monitoring of archive and backup storage,US,6066
8926723,20150106,20100421,Dust collecting apparatus having a dust removing unit,KR,104604
10276645,20190430,20160901,Image display device and method for repairing short circuit failure,JP,9818
9703667,20170711,20150222,Hardware-based edge profiling,US,6066
10250462,20190402,20161213,Managing change in an information technology environment,US,6066
9603102,20170321,20070514,"Method of transmitting pilot tones in a multi-sector cell, including null pilot tones, for generating channel quality indicators",US,24800
8527808,20130903,20120123,DMI redundancy in multiple processor computer systems,US,6008
8938792,20150120,20121228,Device authentication using a physically unclonable functions based key generation system,US,6008
9035419,20150519,20110823,Semiconductor devices including an air-gap and methods of manufacturing the same,KR,104604
9214667,20151215,20101130,"Lithium-ion secondary battery, anode for lithium-ion secondary battery, power tool, electric vehicle and energy storage system",JP,9818
9165941,20151020,20140321,Semiconductor memory devices and methods for fabricating the same,KR,104604
9516752,20161206,20130318,Underfill device and method,US,6008
9939285,20180410,20100121,Navigation apparatus,JP,9818
10025221,20180717,20170425,Image forming apparatus having photosensitive member scanned by light that changes in scanning speed in accordance with image height,JP,2721
10126855,20181113,20171030,Sensor device and information processing device,JP,9818
9201936,20151201,20121113,Rapid provisioning of information for business analytics,US,6066
9813994,20171107,20120215,Managing transmit power for better frequency re-use in TV white space,US,24800
8949935,20150203,20121231,Secure account creation,US,1690
8804182,20140812,20100513,"Printing control apparatus, printing control method, and computer-readable storage medium storing program",JP,2721
10236449,20190319,20170407,"Organic photoelectric device, and image sensor and electronic device including the same",KR,104604
9007858,20150414,20130212,"SRAM global precharge, discharge, and sense",US,6066
9048999,20150602,20120419,Unequalized clock data recovery for serial I/O receiver,US,6008
8437670,20130507,20110119,Image forming apparatus,JP,2721
10103152,20181016,20170627,Semiconductor device and method for fabricating the same,KR,104604
9001344,20150407,20140114,"Image forming apparatus, method of control thereof and computer readable medium",KR,104604
9344752,20160517,20110119,Content reproduction system and content reproduction method,JP,9818
9317022,20160419,20120719,Controlling power generators and chillers,US,6066
9690680,20170627,20160923,Testing hybrid instruction architecture,US,6066
8832383,20140909,20130520,Delayed replacement of TLB entries,US,6066
9253600,20160202,20140825,Altitude estimation using a probability density function,US,1690
8462384,20130611,20040929,Methods and apparatuses for aesthetically enhanced image conversion,US,1690
10012782,20180703,20150807,Backlight apparatus and display apparatus having the same,KR,104604
8407574,20130326,20060731,User interface for accessing presentations,US,1690
9820090,20171114,20160915,Enhanced fallback mechanism for SLP connection during emergency SUPL sessions,US,24800
9015522,20150421,20121204,Implementing DRAM failure scenarios mitigation by using buffer techniques delaying usage of RAS features in computer systems,US,6066
9707146,20170718,20141202,Wearable robot and method for controlling the same,KR,104604
9706455,20170711,20150806,Method and apparatus for adjusting mobility parameter,KR,104604
10038804,20180731,20170118,"Image forming apparatus, control method of image forming apparatus and, program",JP,2721
10074712,20180911,20171026,Display device,JP,9818
9665586,20170530,20160714,Preserving high value entries in an event log,US,6066
8508528,20130813,20100909,"Image signal processing apparatus, image signal processing method, program, and image signal processing system",JP,9818
9015462,20150421,20120824,Display device and booting method thereof,KR,104604
9230833,20160105,20150304,Methods to prevent filler entrapment in microelectronic device to microelectronic substrate interconnection structures,US,6008
8532161,20130910,20100617,Method and apparatus that facilitates estimating Doppler spread for uplink transmissions,US,24800
10140457,20181127,20160129,Secure input/output device management,US,6008
9686791,20170620,20140826,Protocols for enabling mode 1 and mode 2 devices in TV white space networks,US,24800
9456036,20160927,20150814,Switch-based data tiering,US,6066
9276501,20160301,20130501,Electromechanical transducer and production method therefor,JP,2721
9510217,20161129,20131122,Method and apparatus for enhanced application signaling from a wireless communications device,US,24800
10269296,20190423,20170802,"Active-matrix display device, and active-matrix organic electroluminescent display device",JP,9818
9449820,20160920,20141222,Epitaxial growth techniques for reducing nanowire dimension and pitch,US,6066
10091648,20181002,20080424,Method and apparatus for new key derivation upon handoff in wireless networks,US,24800
9445209,20160913,20130711,Mechanism and apparatus for seamless voice wake and speaker verification,US,6008
9455014,20160927,20150805,"Adjusting resistive memory write driver strength based on write error rate (WER) to improve WER yield, and related methods and systems",US,24800
8395270,20130312,20120110,Etching composition for an under-bump metallurgy layer,KR,104604
9237510,20160112,20080620,System search method and mobile terminal performing the same,KR,104604
9734890,20170815,20160429,Systems and methods for individually configuring dynamic random access memories sharing a common command access bus,US,24800
8978019,20150310,20131008,Instrumentation of software applications for configuration thereof,US,6066
9048261,20150602,20110804,Fabrication of field-effect transistors with atomic layer doping,US,6066
9125139,20150901,20131118,Mobile access in a diverse access point network,US,24800
8625018,20140107,20130215,"Synchronized, interactive augmented reality displays for multifunction devices",US,1690
10437315,20191008,20170622,"System, apparatus and method for dynamically controlling error protection features of a processor",US,6008
8948439,20150203,20110518,Acoustic conversion device and acoustic conversion device assembly method,JP,9818
9866358,20180109,20151028,Reference signals design for time tracking in LTE-A,US,24800
8987073,20150324,20120711,Self-protected metal-oxide-semiconductor field-effect transistor,US,6066
9690483,20170627,20170105,Asynchronously clearing page frames,US,6066
9674694,20170606,20120523,Systems and methods for group communication using a mobile device with mode transition based on motion,US,24800
9847341,20171219,20141021,Three-dimensional semiconductor memory device,KR,104604
8874082,20141028,20060519,Apparatus and methods for protecting data on a wireless device,US,24800
8597081,20131203,20110923,Chemical mechanical polishing apparatus having pad conditioning disk and pre-conditioner unit,KR,104604
9584081,20170228,20141030,"Signal processing apparatus and method, program, and data recording medium",JP,9818
10164110,20181225,20151030,Finfet including improved epitaxial topology,US,6066
10312704,20190604,20140123,Power adapters for powering and/or charging peripheral devices,US,1690
8516457,20130820,20110628,"Method, system and program storage device that provide for automatic programming language grammar partitioning",US,6066
9721023,20170801,20141212,Search query obfuscation via broadened subqueries and recombining,US,6066
9087524,20150721,20130117,"Optical recording medium drive device, tracking error detection method",JP,9818
9710624,20170718,20141120,Implementing extent granularity authorization initialization processing in CAPI adapters,US,6066
8473780,20130625,20120702,Efficient data storage in storage device arrays,US,1690
9843367,20171212,20161208,Enhanced node B and method for precoding with reduced quantization error,US,6008
8762919,20140624,20101119,Circuit macro placement using macro aspect ratio based on ports,US,6066
8555019,20131008,20100908,Using a migration cache to cache tracks during migration,US,6066
9604465,20170328,20160518,Ink-jet recording apparatus,JP,2721
9525102,20161220,20140128,Method for manufacturing nanostructure semiconductor light emitting device,KR,104604
8438193,20130507,20120328,Copy collector with efficient abort-on-copy transition to mark collector,US,6066
10169005,20190101,20160303,Consolidating and reusing portal information,US,6066
9338656,20160510,20120328,Conditional limited service grant based on device verification,US,6008
9104476,20150811,20100826,Opportunistic multitasking of VOIP applications,US,1690
9146723,20150929,20130603,Applying social computing paradigm to software installation and configuration,US,6066
10284821,20190507,20150202,Imaging apparatus and imaging system,JP,2721
9335697,20160510,20130708,Image forming apparatus having image bearing member life estimation unit,JP,2721
8656130,20140218,20111223,Low latency and persistent data storage,US,6066
10305789,20190528,20170306,Packet forwarding for quality of service delivery,US,6066
8812783,20140819,20110511,"Operation apparatus, cache apparatus, and control method thereof",JP,2721
8441651,20130514,20100827,Defect inspection apparatus and defect inspection method,JP,9818
9134667,20150915,20130715,Fixing apparatus having cooling device for pressure roller,JP,2721
9765295,20170919,20150710,Composition for culturing sanal and sanal culturing method using the same,KR,104604
8392584,20130305,20090330,System and method for searching for session ID in wireless mobile IP communication system,KR,104604
9473168,20161018,20150925,"Systems, methods, and apparatuses for compression using hardware and software",US,6008
9733881,20170815,20150828,Managing digital object viewability for a transparent display system,US,6066
9763047,20170912,20160928,Anonymizing location data,US,6066
10135637,20181120,20161202,Method and apparatus for transmitting signal in communication system,KR,104604
9836410,20171205,20150925,Burst translation look-aside buffer,US,24800
9655006,20170516,20060602,System and method for controlling congestion in wireless mesh networks,KR,104604
8996566,20150331,20121218,Method and system for backup and recovery,US,6066
8522160,20130827,20100218,"Information processing device, contents processing method and program",JP,9818
9768025,20170919,20160616,Semiconductor device and method of fabricating the same,KR,104604
8877532,20141104,20120315,Method of manufacturing organic electroluminescence display device,JP,2721
9157745,20151013,20110110,Scalable routing for mobile station navigation with location context identifier,US,24800
9147932,20150929,20121008,Tunable multiband antenna with dielectric carrier,US,1690
9894789,20180213,20141222,Structured fabrics for electronic devices,US,1690
8445946,20130521,20031211,Gated diode memory cells,US,6066
9360798,20160607,20130905,Developer replenishing apparatus and image forming apparatus with rotational velocity control,JP,2721
9652580,20170516,20150512,Integrated circuit layout design system and method,KR,104604
8677371,20140318,20091231,Mixed operating performance modes including a shared cache mode,US,6066
10021264,20180710,20151119,Information processing apparatus and method for executing and controlling sequential processing,JP,2721
8804611,20140812,20090804,Method and apparatus for acknowledging successful reception of a data transmission for multi-access compatibility in a wireless communication system,US,24800
8711236,20140429,20120810,Blur correction device and imaging apparatus,JP,9818
8817809,20140826,20080617,Communication link allocation based on dynamic trend analysis,US,24800
9710595,20170718,20100224,Multi-view user interface for server cabling display,US,6066
9977497,20180522,20140114,"Method for providing haptic effect set by a user in a portable terminal, machine-readable storage medium, and portable terminal",KR,104604
9391020,20160712,20140625,Interconnect structure having large self-aligned vias,US,6066
10468753,20191105,20160926,Electronic device,KR,104604
9727348,20170808,20110429,Providing a context-aware help content using a transparent overlay on a touch sensitive screen,US,6066
10362208,20190723,20171205,Method and apparatus for controlling a device identified from a screen input by a camera,KR,104604
9978364,20180522,20160328,Pronunciation accuracy in speech recognition,US,6066
9141623,20150922,20120803,System for on-line archiving of content in an object store,US,6066
10448353,20191015,20180316,Method for managing registration and session in wireless communication system and apparatus for performing the same,KR,104604
8751022,20140610,20070414,Multi-take compositing of digital media assets,US,1690
9702538,20170711,20140502,Light source apparatus and image display apparatus,JP,9818
9543909,20170110,20150227,"Amplifier, driving method for amplifier, and electronic circuit system",JP,9818
10262586,20190416,20160811,Light-emitting diode display with threshold voltage compensation,US,1690
9026066,20150505,20141006,Mobile communication terminal for PTT and method for processing missed call information thereof,KR,104604
9344942,20160517,20130125,Application-layer handoff of an access terminal from a first system of an access network to a second system of the access network during a communication session within a wireless communications system,US,24800
10205874,20190212,20161109,Wearable device and control method thereof,KR,104604
10200720,20190205,20140423,Method and apparatus for transmitting and receiving packet in a communication system,KR,104604
8748882,20140610,20110126,"Thin film transistor, electronic device, display device, and method of manufacturing thin film transistor",JP,9818
8578288,20131105,20100714,Three state icon for operations,US,1690
9535865,20170103,20111222,Interconnection of multiple chips in a package,US,6008
9083983,20150714,20120625,Motion vector predictor candidate clipping removal for video coding,US,24800
9865820,20180109,20150114,Condensed cyclic compound and organic light-emitting device including the same,KR,104604
8897803,20141125,20120113,Finding wireless network access points,US,1690
10298468,20190521,20140118,"Provisioning persistent, dynamic and secure cloud services",US,6008
9824719,20171121,20150930,Automatic music recording and authoring tool,US,1690
10455428,20191022,20140530,"System and method for managing utilization of un-licensed frequency spectrum resources for secondary systems, and a non-transitory computer-readable medium",JP,9818
10412265,20190910,20160928,Information processing apparatus that displays a prompt to move the apparatus and information processing method,JP,2721
8358351,20130122,20090605,Automatic tone mapping for cameras,US,1690
8637358,20140128,20120705,Field-effect-transistor with self-aligned diffusion contact,US,6066
8509430,20130813,20100917,Storage devices having a security function and methods of securing data stored in the storage device,KR,104604
8589801,20131119,20101129,Display screen user identification card for access to secured databases,US,6066
9059163,20150616,20131017,Structure for logic circuit and serializer-deserializer stack,US,6066
10256185,20190409,20171025,Nitridization for semiconductor structures,US,6066
10079234,20180918,20170628,Metal-insulator-metal capacitor analog memory unit cell,US,6066
9961628,20180501,20150211,Scan channel reduction to improve Wi-Fi system power,US,24800
9449153,20160920,20130128,Unique and unclonable platform identifiers using data-dependent circuit path responses,US,24800
9625972,20170418,20120314,Method of reducing power consumption of system software using query scheduling of application and apparatus for reducing power consumption using the method,KR,104604
9041148,20150526,20130613,Metal-insulator-metal capacitor structures,US,24800
9715317,20170725,20150615,Electronic device using electromagnetic field for user input,KR,104604
9612988,20170404,20130723,Donor cores to improve integrated circuit yield,US,6066
8869117,20141021,20131119,Capturing multi-component trace for unit of work,US,6066
8913279,20141216,20130315,"Information processing apparatus that provides hot folders, information processing method, and non-transitory computer-readable medium",JP,2721
9029751,20150512,20120626,"Image sensor, imaging apparatus, and imaging method",JP,9818
9380369,20160628,20130214,Microphone seal,US,1690
9606829,20170328,20141011,Suspending transactional-memory transactions without stack corruption,US,6066
9622147,20170411,20140911,System and method for performing hybrid automatic repeat request (HARQ) in a WLAN system,US,1690
8504091,20130806,20090126,Interference mitigation for control channels in a wireless communication network,US,24800
8490571,20130723,20080227,"Coater, method for manufacturing coated article, and fluid blowing unit",JP,2721
8407080,20130326,20100823,Managing and monitoring continuous improvement in information technology services,US,6066
9351264,20160524,20131004,Method and apparatus for detecting cell outage and controlling transmission power,KR,104604
9355904,20160531,20140623,Method for strain-relieved through substrate vias,US,24800
8685308,20140401,20120131,Injection mold for washing machine diaphragms,KR,104604
9424736,20160823,20140905,Asset-based weather and event alerts,US,6066
9780526,20171003,20151105,Semiconductor-laser-device assembly,JP,9818
9330785,20160503,20150429,Read operation based aging sensor for static random access memory (SRAM),US,24800
10257452,20190409,20180425,"Solid-state image pickup apparatus, signal processing method for a solid-state image pickup apparatus, and electronic apparatus",JP,9818
8699912,20140415,20111110,Developing cartridge and image forming apparatus having the same,KR,104604
9955494,20180424,20160429,WWAN and Wlan cooperative support of multi-SIM devices,US,24800
10521009,20191231,20170517,Method and apparatus for facilitating interaction with virtual reality equipment,KR,104604
8980737,20150317,20130315,Methods of forming contact regions using sacrificial layers,US,6066
10438629,20191008,20181227,Disc storage cassettes comprising track connectors,US,6066
10446873,20191015,20161230,Solid-state battery,US,6008
8620098,20131231,20100608,Trees for adaptive coding of images and videos using set partitioning in generalized hierarchical trees having directionality,JP,9818
8836840,20140916,20121207,"A/D converter, solid-state image sensing device, and camera system",JP,9818
9996420,20180612,20150622,Error-correction encoding and decoding,US,6066
10091695,20181002,20151030,"Method for assigning and managing reference signals in a multi-cell environment, and network device and terminal for applying the method",KR,104604
10482960,20191119,20160217,Dual demarcation voltage sensing before writes,US,6008
10367637,20190730,20160722,Modular exponentiation with transparent side channel attack countermeasures,US,24800
9906512,20180227,20150728,Flexible revocation of credentials,US,6066
9638747,20170502,20131227,Placing integrated circuit devices using perturbation,US,6008
10460757,20191029,20181105,Management of head and media dimensional stability,US,6066
9357299,20160531,20121116,Active protection for acoustic device,US,1690
10216456,20190226,20160722,Estimating mount time completion in file systems,US,6066
9148236,20150929,20130313,Optimized HARQ recombining within transmission window,US,24800
9792066,20171017,20150223,Handling failure of a command to add a record to a log,US,6066
10073716,20180911,20160721,System and method to control heat dissipation through service level analysis,US,6066
9536923,20170103,20130220,Solid-state image pickup device and image pickup system,JP,2721
8838801,20140916,20120716,Cloud optimization using workload analysis,US,6066
9525064,20161220,20151216,Channel-last replacement metal-gate vertical field effect transistor,US,6066
8861746,20141014,20110307,"Sound processing apparatus, sound processing method, and program",JP,9818
10043056,20180807,20180216,Analyzing writing using pressure sensing touchscreens,US,6066
8582642,20131112,20081215,"Transmitting system and receiving system for processing stream, and stream processing methods thereof",KR,104604
8427471,20130423,20120508,"Program execution system, program execution device and recording medium and computer executable program therefor",JP,9818
10170690,20190101,20160324,Hybrid-fl with edge-modified coupling,KR,104604
9626904,20170418,20141007,"Display device, electronic device, and driving method of display device",JP,9818
8560623,20131015,20120402,Reducing email message size,US,6066
10523913,20191231,20170630,Packed image format for multi-directional video,US,1690
9439325,20160906,20131021,Coolant-cooled heat sink configured for accelerating coolant flow,US,6066
9678790,20170613,20150707,Devices and methods implementing operations for selective enforcement of task dependencies,US,24800
8644094,20140204,20120522,Semiconductor memory devices including precharge using isolated voltages,KR,104604
10142197,20181127,20151201,Visualizing distributions of correlated data,US,6066
9119562,20150901,20120711,"Imaging control apparatus, ophthalmic imaging apparatus, imaging control method, and program",JP,2721
8589777,20131119,20000121,Method and system for calculating cost of a compilation of content,US,6066
10120623,20181106,20171127,"Image forming apparatus enabling charging management, control method therefor, and storage medium storing control program therefor",JP,2721
10020964,20180710,20170210,Channel estimation for wireless systems without matrix inversion,JP,9818
9959918,20180501,20161020,"Memory device and system supporting command bus training, and operating method thereof",KR,104604
9494694,20161115,20151209,Method and apparatus of road location inference for moving object,US,6066
8775504,20140708,20100406,"Document management system, document management method and recording medium",JP,2721
9343912,20160517,20120229,Power charging device and mobile terminal apparatus,JP,9818
8928910,20150106,20081029,"Information processing apparatus, control method therefor, and computer readable medium for indicating a last page and blank pages in bookbinding printing",JP,2721
9634828,20170425,20141216,Flexible architecture and instruction for advanced encryption standard (AES),US,6008
9092333,20150728,20130104,Fault isolation with abstracted objects,US,6066
9245896,20160126,20140214,Junction field-effect floating gate quantum dot memory switch,US,6066
9603085,20170321,20110215,Methods and apparatus providing intelligent radio selection for legacy and non-legacy applications,US,24800
8938129,20150120,20120430,Display system with edge map conversion mechanism and method of operation thereof,KR,104604
10446222,20191015,20161207,Memory subsystem I/O performance based on in-system empirical testing,US,6008
9558058,20170131,20160517,Technology for stall detection,US,6066
10139584,20181127,20150220,Lens apparatus and optical apparatus,JP,2721
9938102,20180410,20170119,Sheet conveying apparatus and image forming apparatus,JP,2721
8625902,20140107,20110728,Object recognition using incremental feature extraction,US,24800
10235361,20190319,20170215,Context-aware translation memory to facilitate more accurate translation,US,6066
10171987,20190101,20171220,IMPI-based personalization,US,24800
9585103,20170228,20150123,Techniques for controlling transmission power in shared radio frequency spectrum,US,24800
9026185,20150505,20120912,"Communication apparatus, control method thereof, and storage medium",JP,2721
8392489,20130305,20080215,ASCII to binary floating point conversion of decimal real numbers on a vector processor,US,6066
9928253,20180327,20140117,Method of generating search information and image apparatus using the same,KR,104604
10419489,20190917,20170504,Unidirectional trust based decision making for information technology conversation agents,US,6066
9893816,20180213,20160325,Dynamic beam steering optoelectronic packages,US,6008
9088923,20150721,20120904,Small cells implementing multiple air interfaces,US,6008
8684509,20140401,20120319,"Ink jet ink, ink cartridge, and ink jet recording method",JP,2721
9094113,20150728,20130315,Apparatus and method for reducing phase noise in near field communication device signaling,US,24800
9386408,20160705,20140225,Generic positioning protocol,US,24800
10416814,20190917,20170922,"Information processing apparatus to display an image on a flat surface, method of controlling the same, and storage medium",JP,2721
8620154,20131231,20100716,Methods and apparatus for fast and energy-efficient light recovery in a visible light communication (VLC) system,KR,104604
8442441,20130514,20050729,Traffic interference cancellation,US,24800
8665834,20140304,20081201,Method and apparatus for transceiving data using directional beam in wireless personal area network,KR,104604
8386211,20130226,20080815,Monitoring virtual worlds to detect events and determine their type,US,6066
9361007,20160607,20140917,Graphical interface data fragment operations for data visualization,US,6066
8930185,20150106,20100712,"Speech feature extraction apparatus, speech feature extraction method, and speech feature extraction program",US,6066
8799558,20140805,20111014,Indexing method for flash memory,KR,104604
10291366,20190514,20170522,"Method, user equipment and base station for controlling discontinuous reception (DRX) in wireless communication system",KR,104604
9767787,20170919,20140101,Artificial utterances for speaker verification,US,6066
9802410,20171031,20120724,Ink jet print head,JP,2721
9251828,20160202,20120704,Servo control,US,6066
9246435,20160126,20150209,Method to pre-charge crystal oscillators for fast start-up,US,24800
9296580,20160329,20140714,"Auto document feeder, scanner including the same, and method of controlling auto document feeding",KR,104604
8914801,20141216,20100527,"Hardware instructions to accelerate table-driven mathematical computation of reciprocal square, cube, forth root and their reciprocal functions, and the evaluation of exponential and logarithmic families of functions",US,6066
9313251,20160412,20150219,Sharing a configuration state of a client device that meets a threshold level of QoE,US,6066
8903966,20141202,20110601,Re-programming programmable hardware devices without system downtime,US,6066
9574294,20170221,20150225,Washing machine using bubbles,KR,104604
8953231,20150210,20131211,Document reading apparatus and document reading method,JP,2721
10386992,20190820,20131204,Display device for executing a plurality of applications and method for controlling the same,KR,104604
8503678,20130806,20091223,Suppressing power supply noise using data scrambling in double data rate memory systems,US,6008
9467121,20161011,20140826,Apparatus and method for compensating for process variation in electronic device,KR,104604
10317615,20190611,20171227,Outdoor display apparatus,KR,104604
10027675,20180717,20171214,Determining virtual adapter access controls in a computing environment,US,6066
8509159,20130813,20080115,Method and system for wireless communication using out-of-band channels,KR,104604
9891829,20180213,20170306,Storage of data with verification in a dispersed storage network,US,6066
8762864,20140624,20080806,Background removal tool for a presentation application,US,1690
10198472,20190205,20160609,Outer join optimizations in database management systems,US,6066
9621866,20170411,20140310,"Image processing apparatus, image processing method, and program",JP,2721
9625837,20170418,20140709,Imprint apparatus and method of manufacturing article,JP,2721
10025059,20180717,20150706,Optical apparatus,JP,2721
10423246,20190924,20160621,Input device and electronic apparatus for receiving signal from the input device,KR,104604
9348282,20160524,20150630,Fixing member,JP,2721
9945956,20180417,20150908,GNSS positioning using three-dimensional building models,US,1690
8898422,20141125,20120827,Workload-aware distributed data processing apparatus and method for processing large data based on hardware acceleration,KR,104604
9985939,20180529,20160517,"Server system, method of controlling server system, and storage medium, for providing a service based on authorization information",JP,2721
8547479,20131001,20121003,Display apparatus and control method thereof,JP,2721
8866916,20141021,20130812,"Image output apparatus, control method, and computer-readable storage medium for providing an output operation regardless of a connection state between apparatuses",JP,2721
10312341,20190604,20171128,Integrated circuit device and method of manufacturing the same,KR,104604
8836974,20140916,20110218,Image processing system and control method for managing a job related to image processing in a distributed environment,JP,2721
8969964,20150303,20131009,Embedded silicon germanium N-type field effect transistor for reduced floating body effect,US,6066
9288380,20160315,20140623,Imaging device and electronic apparatus,JP,9818
9240746,20160119,20120907,Driving apparatus for vibration-type actuator,JP,2721
10490184,20191126,20170616,Voice recognition apparatus and method,KR,104604
8736788,20140527,20060612,Liquid crystal display device having improved cooling efficiency,KR,104604
9886432,20180206,20150828,Parsimonious handling of word inflection via categorical stem + suffix N-gram language models,US,1690
8760192,20140624,20120629,Programmable circuit including differential amplifier circuit,KR,104604
9484529,20161101,20160414,Magnetic memory device,KR,104604
9471343,20161018,20150831,Dynamic code injection,US,6066
9558255,20170131,20140311,Managing replication configuration availability,US,6066
10382928,20190813,20160119,Internet of things device and communication method thereof,KR,104604
10103580,20181016,20160516,Wireless power transmission apparatus and method,KR,104604
9825751,20171121,20130522,"Communication control device, communication control method, program, terminal device, and communication control system",JP,9818
9224046,20151229,20150119,Multi-view object detection using appearance model transfer from similar scenes,US,6066
9560620,20170131,20150429,Methods and systems for enhanced round trip time (RTT) exchange,US,24800
9130958,20150908,20100728,"Terminal, seed server, and tracker server for reducing delay in streaming service",KR,104604
9569381,20170214,20141114,Scheduler for memory,KR,104604
9087148,20150721,20130819,Automated role adjustment in a computer system,US,6066
10002085,20180619,20151112,Peripheral component interconnect (PCI) device and system including the PCI,KR,104604
9783204,20171010,20150202,Cognitive displays,US,6066
9141406,20150922,20121003,Method and system to provide a user interface with respect to a plurality of applications,KR,104604
9818786,20171114,20160831,Imaging device including wirings that overlap photoelectric conversions units,JP,9818
8963587,20150224,20130514,Clock generation using fixed dividers and multiplex circuits,US,1690
9189486,20151117,20130307,Autonomic generation of document structure in a content management system,US,6066
8791888,20140729,20120914,"Pixel circuit, display device, driving method of pixel circuit, and driving method of display device",JP,9818
9073340,20150707,20111011,Ink jet printing apparatus and ink jet printing method with varied relative bias of printing permission ratio between print modes,JP,2721
